distrito,numAccidentes,numAccidentesAlcohol,numAccidentesDrogas,numAccidentesAlcoholDrogas
PUENTE DE VALLECAS,3326,120,12,3
SALAMANCA,3072,78,4,1
CIUDAD LINEAL,2838,106,5,0
CARABANCHEL,2713,129,7,1
CHAMARTÍN,2707,80,5,1
MONCLOA-ARAVACA,2304,58,2,1
RETIRO,2192,48,7,0
CENTRO,2165,61,3,0
FUENCARRAL-EL PARDO,2141,47,4,0
SAN BLAS-CANILLEJAS,2049,64,2,1
LATINA,2041,76,3,2
CHAMBERÍ,2036,47,0,0
ARGANZUELA,1987,45,5,0
USERA,1821,67,3,0
TETUÁN,1734,48,3,0
HORTALEZA,1557,54,2,2
VILLAVERDE,1385,53,9,1
MORATALAZ,1221,27,4,2
VILLA DE VALLECAS,1055,34,7,1
VICÁLVARO,764,20,2,1
BARAJAS,671,18,0,0
9,1,0,0,0
