tipoVehiculo,numAccidentes
Turismo,28834
Autobús,958
Motocicleta hasta 125cc,3006
Todo terreno,629
Bicicleta,691
Motocicleta > 125cc,1682
Furgoneta,2745
Camión rígido,970
Sin especificar,55
Ciclomotor,632
Maquinaria de obras,105
Tractocamión,181
Otros vehículos con motor,110
VMU eléctrico,577
Cuadriciclo no ligero,10
Vehículo articulado,78
Autocaravana,19
Bicicleta EPAC (pedaleo asistido),154
Autobús articulado,74
Autobus EMT,68
Ambulancia SAMUR,6
Cuadriciclo ligero,36
Patinete,35
Ciclomotor de tres ruedas,1
Semiremolque,2
Moto de tres ruedas > 125cc,14
Ciclo,28
Maquinaria agrícola,3
Remolque,1
Moto de tres ruedas hasta 125cc,3
Ciclomotor de dos ruedas L1e-B,7
Tren/metro,1
Otros vehículos sin motor,5
Camión de bomberos,3
Ciclo de motor L1e-A,3
Tranvía,1
Autobús articulado EMT,1
Despejado,1
